,Name,City,Country,Arena,Capactity,Logo URL,Division,City,State,,,,,,,,,,,,,,,,,,,,
Team,Hawks,Atlanta,USA,State Farm Arena,18118,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/atlanta.png,Southeast,Atlanta,Georgia,,,,,,,,,,,,,,,,,,,,
Team,Celtics,Boston,USA,TD Garden,18624,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/boston.png,Atlantic,Boston,Massachusetts,,,,,,,,,,,,,,,,,,,,
Team,Nets,Brooklyn,USA,Barclays Center,17732,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/brooklyn.png,Atlantic,Brooklyn,New York,,,,,,,,,,,,,,,,,,,,
Team,Hornets,Charlotte,USA,Spectrum Center,19077,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/charlotte.png,Southeast,Charlotte,North Carolina,,,,,,,,,,,,,,,,,,,,
Team,Bulls,Chicago,USA,United Center,20917,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/chicago.png,Central,Chicago,Illinois,,,,,,,,,,,,,,,,,,,,
Team,Cavaliers,Cleveland,USA,Quicken Loans Arena,20562,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/cleveland.png,Central,Cleveland,Ohio,,,,,,,,,,,,,,,,,,,,
Team,Mavericks,Dallas,USA,American Airlines Center,19200,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/dallas.png,Southwest,Dallas,Texas,,,,,,,,,,,,,,,,,,,,
Team,Nuggets,Denver,USA,Pepsi Center,19520,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/denver.png,Northwest,Denver,Colorado,,,,,,,,,,,,,,,,,,,,
Team,Pistons,Detroit,USA,Little Caesars Arena,20491,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/detroit.png,Central,Detroit,Michigan,,,,,,,,,,,,,,,,,,,,
Team,Warriors,Golden State,USA,Oracle Arena,19596,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/golden_state.png,Pacific,Oakland,California,,,,,,,,,,,,,,,,,,,,
Team,Rockets,Houston,USA,Toyota Center,18055,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/houston.png,Southwest,Houston,Texas,,,,,,,,,,,,,,,,,,,,
Team,Pacers,Indiana,USA,Bankers Life Fieldhouse,17923,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/indiana.png,Central,Indianapolis,Indiana,,,,,,,,,,,,,,,,,,,,
Team,Clippers,Los Angeles,USA,Staples Center,19060,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/la_clippers.png,Pacific,Los Angeles,California,,,,,,,,,,,,,,,,,,,,
Team,Lakers,Los Angeles,USA,Staples Center,18997,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/la_lakers.png,Pacific,Los Angeles,California,,,,,,,,,,,,,,,,,,,,
Team,Grizzlies,Memphis,USA,FedExForum,17794,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/memphis.png,Southwest,Memphis,Tennessee,,,,,,,,,,,,,,,,,,,,
Team,Heat,Miami,USA,American Airlines Arena,19600,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/miami.png,Southeast,Miami,Florida,,,,,,,,,,,,,,,,,,,,
Team,Bucks,Milwaukee,USA,Fisery Forum,17500,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/milwaukee.png,Central,Milwaukee,Wisconsin,,,,,,,,,,,,,,,,,,,,
Team,Timberwolves,Minnesota,USA,Target Center,18978,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/minnesota.png,Northwest,Minneapolis,Minnesota,,,,,,,,,,,,,,,,,,,,
Team,Pelicans,New Orleans,USA,Smoothie King Center,16867,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/new_orleans.png,Southwest,New Orleans,Louisiana,,,,,,,,,,,,,,,,,,,,
Team,Knicks,New York,USA,Madison Square Garden,19812,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/new_york.png,Atlantic,New York City,New York,,,,,,,,,,,,,,,,,,,,
Team,Thunder,Oklahoma City,USA,Chesapeake Energy Arena,18203,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/oklahoma_city.png,Northwest,Oklahoma City,Oklahoma,,,,,,,,,,,,,,,,,,,,
Team,Magic,Orlando,USA,Amway Center,18846,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/orlando.png,Southeast,Orlando,Florida,,,,,,,,,,,,,,,,,,,,
Team,76ers,Philadelphia,USA,Wells Fargo Center,20478,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/philadelphia.png,Atlantic,Philadelphia,Pennsylvania,,,,,,,,,,,,,,,,,,,,
Team,Suns,Phoenix,USA,Talking Stick Resort Arena,18055,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/phoenix.png,Pacific,Phoenix,Arizona,,,,,,,,,,,,,,,,,,,,
Team,Trail Blazers,Portland,USA,Moda Center,19441,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/portland.png,Northwest,Portland,Oregon,,,,,,,,,,,,,,,,,,,,
Team,Kings,Sacramento,USA,Golden 1 Center,17583,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/sacramento.png,Pacific,Sacramento,California,,,,,,,,,,,,,,,,,,,,
Team,Spurs,San Antonio,USA,AT&T Center,18418,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/san_antonio.png,Southwest,San Antonio,Texas,,,,,,,,,,,,,,,,,,,,
Team,Raptors,Toronto,Canada,Scotiabank Arena,19800,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/toronto.png,Atlantic,Toronto,Ontario,,,,,,,,,,,,,,,,,,,,
Team,Jazz,Utah,USA,Vivint Smart Home Arena,18306,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/utah.png,Northwest,Salt Lake City,Utah,,,,,,,,,,,,,,,,,,,,
Team,Wizards,Washington,USA,Capital One Arena,20356,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/washington.png,Southeast,Washington,D.C,,,,,,,,,,,,,,,,,,,,
NewFranchiseLogo,,,,,,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/new_team.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,FirstName,Last Name,Position,Age,Height,Weight,Team ID,Defence,TurnOvers,FTA,FTPerc,2PTA,2PTPerc,3PTA,ThreePerc,OffReb,Fame,DefReb,FastBreak,Assists,Personality,Potential,Steals,Blocks,Stamina,Trait,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Atlanta Hawks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,DeAndre',Bembry,SG,25,195.58,210,0,53,1.6,1.5,0.486,4.5,0.571,1.5,0.237,1,25,3.3,26,2.5,80,21.5,1.4,0.5,73.2,,,,
players,Charlie,Brown,SG,22,198.12,199,-1,35,0,1,1,0.5,0,0.3,1,0.5,0,0.3,12.5,0,80,21.59090909,0,0.3,12,R,,,
players,Vince,Carter,SF,43,198.12,220,0,41,0.7,0.5,0.7,1.9,0.526,4,0.291,0.2,0,1.8,8,0.9,80,3.546511628,0.4,0.3,47.1,HF,,,
players,John,Collins,PF,22,205.74,235,0,59,1.4,3.4,0.706,8.4,0.548,3.8,0.474,2,25,6.8,26,1.6,80,24.09090909,1,2,96.6,PT,,,
players,Allen,Crabbe,SG,27,195.58,212,0,41,0.4,0.7,0.778,1.9,0.56,3.4,0.318,0.4,0,2,12.5,1,80,15.09259259,0.6,0.2,58.8,,,,
players,Bruno,Fernando,C,21,205.74,240,0,44,0.9,1,0.64,2.4,0.607,0.6,0.25,1.1,0,1.8,11,1.1,80,22.61904762,0.2,0.4,35.4,R,,,
players,Brandon,Goodwin,PG,24,182.88,180,-1,20,1,0,0.6,0,0.45,0.5,0,0,0,0,5,0,80,19.79166667,0,0,7.5,,,,
players,Kevin,Huerter,SG,21,200.66,190,0,44,1.4,1.2,0.824,2.5,0.486,4.6,0.369,0.5,0,2.4,17,3.4,80,22.61904762,0.7,0.4,67.5,,,,
players,De'Andre,Hunter,SF,22,200.66,225,0,38,1.6,2.3,0.764,6,0.434,5,0.367,0.5,0,3.5,24.5,1.9,80,9.090909091,0.6,0.3,94.5,R,,,
players,Damian,Jones,C,24,210.82,245,0,47,0.7,1.9,0.667,4.2,0.72,0.2,0.4,1.6,30,2.4,9.5,0.7,80,29.79166667,0.5,0.9,55.8,,,,
players,Alex,Len,C,26,213.36,250,0,53,0.9,2,0.681,4.8,0.614,1.3,0.233,1.5,25,3.2,12.5,1,80,23.26923077,0.5,0.8,51.6,,,,
players,Jabari,Parker,PF,24,203.2,245,0,56,1.9,2.5,0.714,9.4,0.59,3.7,0.28,1.8,30,4.6,39.5,1.8,80,27.29166667,1.4,0.6,83.4,,,,
players,Chandler,Parsons,SF,31,205.74,230,0,59,0.5,0,0.7,0.5,0.5,3,0.333,0.3,0,1.3,5,0.5,80,15.32258065,1,0,32.4,,,,
players,Cam,Reddish,SG,20,203.2,218,0,44,1.8,2,0.733,5,0.378,4,0.27,0.7,0,3.2,20,1.5,80,6.25,0.9,0.4,74.7,R,,,
players,Evan,Turner,PG,31,198.12,220,0,50,1.5,0.9,0.857,3.6,0.426,0.3,0,0.5,0,1.7,17,2.2,80,10.32258065,0.5,0.5,41.7,,,,
players,Ty,Wallace,SG,25,195.58,198,-1,47,0.7,1.2,0.647,2.1,0.448,1.1,0.067,0.2,0,1.4,14,0.9,80,14,0.5,0.1,34.2,,,,
players,Trae,Young,PG,21,185.42,180,0,41,5,7.3,0.858,11.3,0.515,8.9,0.376,0.5,60,3.6,47,8.6,80,52.61904762,1.3,0,104.4,EX,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Boston Celtics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Jaylen,Brown,SF,23,198.12,223,1,80,1.8,3.9,0.727,9.7,0.575,5.3,0.377,1,35,6,63.5,2.3,80,38.15217391,1.1,0.4,100.2,SP,,,
